,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,
535,8630271,1,3.17E-08,21,18,0.091822674,
536,7416297,1,6.96E-08,41,24,0.047442442,
537,1380406,1,1.25E-06,435,19,0.004581626,
538,4200508,1,2.76E-07,24,27,0.081360122,
539,4230974,1,2.73E-07,234,17,0.00874533,
540,6187193,1,1.23E-07,27,26,0.092547066,
541,9146099,1,1.87E-08,910,21,0.002142962,
542,9228108,1,1.67E-08,117,27,0.017804588,
543,806134,1,2.28E-06,60,17,0.032374572,
544,4734649,1,2.22E-07,64,26,0.032630222,
545,7480517,1,6.73E-08,39,16,0.047533546,
546,8236445,1,4.28E-08,1118,21,0.001775047,
547,4239037,1,2.72E-07,1744,20,0.001147703,
548,9147425,1,1.86E-08,39,31,0.055302072,
549,6041708,1,1.31E-07,435,18,0.004632373,
550,8863708,1,2.56E-08,71,18,0.025346581,
551,9924424,1,1.53E-09,108,16,0.01903479,
552,7828353,1,5.55E-08,39,23,0.054590945,
553,9335988,1,1.42E-08,151,25,0.014125679,
554,4035536,1,2.96E-07,36,20,0.05472806,
555,6872302,1,9.10E-08,23,23,0.080004738,
556,9826856,1,3.52E-09,27,25,0.068680808,
557,5905560,1,1.39E-07,313,17,0.0066675,
558,8782477,1,2.77E-08,35,23,0.05721202,
559,925871,1,1.96E-06,59,21,0.035383309,
560,9009102,1,2.20E-08,31,32,0.054909311,
561,8054103,1,4.83E-08,57,25,0.035040453,
562,7028784,1,8.46E-08,1008,24,0.001984374,
563,3084544,1,4.49E-07,993,14,0.002042677,
564,7071764,1,8.28E-08,63,13,0.030717876,
565,8816191,1,2.69E-08,74,25,0.02671075,
566,5429620,1,1.68E-07,89,22,0.023470795,
567,8682397,1,3.03E-08,25,24,0.083353057,
568,9582726,1,8.70E-09,161,22,0.011720302,
569,5868289,1,1.41E-07,72,29,0.028198751,
570,6234808,1,1.21E-07,48,24,0.043020235,
571,6870176,1,9.11E-08,24,26,0.066095661,
572,5630884,1,1.55E-07,33,24,0.069599714,
573,8900265,1,2.47E-08,39,21,0.046342496,
574,7533220,1,6.55E-08,19,30,0.125080888,
575,7830843,1,5.54E-08,98,20,0.019815004,
576,6636051,1,1.01E-07,42,26,0.050832606,
577,7107013,1,8.14E-08,21,28,0.099379522,
578,4767880,1,2.19E-07,100,17,0.021419808,
579,4124674,1,2.85E-07,64,19,0.034052491,
580,4306263,1,2.64E-07,44,18,0.052766745,
581,8706408,1,2.97E-08,789,14,0.0025235,
582,7411095,1,6.98E-08,44,26,0.039167816,
583,8634249,1,3.16E-08,23,29,0.101852146,
584,3683023,1,3.43E-07,239,16,0.007872563,
585,5586481,1,1.58E-07,23,18,0.087573358,
586,7420200,1,6.96E-08,322,19,0.006456258,
587,8124141,1,4.62E-08,46,31,0.050521193,
588,6211099,1,1.22E-07,527,26,0.003820951,
589,6013909,1,1.33E-07,32,22,0.055652627,
590,5791138,1,1.45E-07,153,27,0.012811862,
591,1788130,1,9.19E-07,24,23,0.07226378,
592,7839048,1,5.51E-08,100,32,0.021127145,
593,9989192,1,2.16E-10,46,23,0.044765815,
594,4621955,1,2.33E-07,26,19,0.082581684,
595,7993182,1,5.02E-08,18,21,0.11963514,
596,3929522,1,3.09E-07,158,23,0.011933056,
597,9182393,1,1.78E-08,4210,14,0.000463329,
598,8528895,1,3.45E-08,166,22,0.012449079,
599,6748418,1,9.63E-08,96,27,0.020979945,
600,6442357,1,1.10E-07,44,26,0.043179544,
601,9717362,1,5.82E-09,35,19,0.061123373,
602,2658429,1,5.52E-07,48,27,0.042447236,
603,2156117,1,7.27E-07,23,16,0.086717859,
604,8514453,1,3.49E-08,146,26,0.013139682,
605,8565857,1,3.35E-08,74,22,0.027880267,
606,4674737,1,2.28E-07,32,20,0.061242935,
607,6913981,1,8.93E-08,55,28,0.037590182,
608,6577035,1,1.04E-07,400,12,0.004964468,
609,9781494,1,4.46E-09,1038,17,0.0019382,
610,9861770,1,2.82E-09,12,13,0.188612819,
611,7472625,1,6.76E-08,237,26,0.008305161,
612,8493034,1,3.55E-08,29,31,0.06063906,
613,8077710,1,4.76E-08,453,21,0.004498368,
614,5312321,1,1.77E-07,61,22,0.032320347,
615,7334594,1,7.27E-08,41,22,0.051689198,
616,7746189,1,5.82E-08,44,24,0.044315709,
617,3809966,1,3.25E-07,57,19,0.034800334,
618,8374030,1,3.88E-08,59,27,0.032189092,
619,8058147,1,4.82E-08,15659,16,0.000127804,
620,8685542,1,3.03E-08,49,21,0.051782406,
621,6984858,1,8.63E-08,68,19,0.032144429,
622,9730507,1,5.54E-09,251,15,0.007994607,
623,7550366,1,6.49E-08,58,29,0.039156864,
624,9644086,1,7.38E-09,34,27,0.063024455,
625,9023495,1,2.16E-08,1355,16,0.001487972,
626,7097752,1,8.18E-08,1297,15,0.001531631,
627,2653612,1,5.54E-07,39,27,0.051648483,
628,6811613,1,9.36E-08,35,23,0.052238705,
629,9902838,1,1.96E-09,84,19,0.023508548,
630,4586847,1,2.36E-07,51,24,0.038232314,
631,2514127,1,5.96E-07,91,18,0.020724328,
632,4456063,1,2.49E-07,144,24,0.013399185,
633,2588248,1,5.73E-07,159,16,0.012867763,
634,7858125,1,5.45E-08,29,21,0.080668631,
635,4125856,1,2.85E-07,21,24,0.094333628,
636,7093647,1,8.20E-08,21,31,0.090951632,
637,7327600,1,7.29E-08,2088,23,0.000945126,
638,8014293,1,4.95E-08,32,30,0.063516066,
639,7127867,1,8.06E-08,15,24,0.097496041,
640,8694394,1,3.01E-08,23,32,0.108797896,
641,5336469,1,1.75E-07,129,15,0.015670307,
642,5437462,1,1.68E-07,1670,19,0.001197507,
643,5649867,1,1.54E-07,117,16,0.018631355,
644,5527726,1,1.62E-07,97,17,0.02127601,
645,6060937,1,1.30E-07,48,14,0.036150581,
646,8080294,1,4.75E-08,73,28,0.025546043,
647,8226079,1,4.31E-08,85,21,0.021192027,
648,9142230,1,1.88E-08,12,20,0.185701464,
649,7749388,1,5.80E-08,82,18,0.023657422,
650,8097676,1,4.70E-08,57,22,0.035219363,
651,4611987,1,2.34E-07,182,20,0.011164424,
652,9759962,1,4.92E-09,66,25,0.033922537,
653,9773388,1,4.64E-09,105,17,0.019288009,
654,8459387,1,3.64E-08,16,38,0.132135576,
655,6330432,1,1.16E-07,41,33,0.045898524,
656,6080666,1,1.29E-07,7,32,0.212224793,
657,7144702,1,8.00E-08,313,23,0.006171787,
658,8373260,1,3.88E-08,88,22,0.023616734,
659,2834592,1,5.06E-07,317,24,0.00633022,
660,6220902,1,1.21E-07,155,14,0.01388803,
661,3392800,1,3.89E-07,320,25,0.006116422,
662,7487203,1,6.70E-08,158,26,0.012852265,
663,6868153,1,9.12E-08,35,19,0.059645203,
664,1645966,1,1.01E-06,113,21,0.017423539,
665,6051465,1,1.30E-07,35,18,0.059458715,
666,8993520,1,2.24E-08,69,17,0.03141206,
667,4612648,1,2.34E-07,43,19,0.044538609,
668,4719752,1,2.24E-07,13,23,0.132400796,
669,9317202,1,1.47E-08,66,20,0.027952164,
670,4892754,1,2.09E-07,437,17,0.004634762,
671,7430822,1,6.92E-08,234,20,0.008165485,
672,8735722,1,2.90E-08,124,20,0.01582529,
673,8687191,1,3.03E-08,39,19,0.05453578,
674,3817901,1,3.24E-07,399,19,0.005090321,
675,3456667,1,3.79E-07,701,23,0.0029043,
676,5644784,1,1.54E-07,94,25,0.019105553,
677,2195714,1,7.11E-07,105,19,0.017301788,
678,1664010,1,1.00E-06,24,14,0.068976753,
679,9506132,1,1.04E-08,154,22,0.013135904,
680,6358068,1,1.15E-07,102,22,0.020636981,
681,2415050,1,6.28E-07,23,17,0.096274267,
682,9466290,1,1.13E-08,556,21,0.003655261,
683,7370025,1,7.13E-08,25,22,0.092356672,
684,5154690,1,1.88E-07,32,30,0.064225414,
685,2759101,1,5.25E-07,87,19,0.024276232,
686,5003855,1,2.00E-07,67,18,0.028784816,
687,7398597,1,7.03E-08,163,24,0.012277833,
688,9201981,1,1.73E-08,29,28,0.083929437,
689,7785445,1,5.69E-08,85,23,0.023059685,
690,8511267,1,3.50E-08,34,15,0.064639424,
691,8924468,1,2.41E-08,92,18,0.022508196,
692,9176258,1,1.79E-08,165,15,0.012373229,
693,5211403,1,1.84E-07,169,13,0.012513276,
694,9816026,1,3.77E-09,24,22,0.087570682,
695,890416,1,2.05E-06,12,18,0.1165504,
696,8604036,1,3.25E-08,53,25,0.032982316,
697,8659353,1,3.10E-08,45,15,0.049170702,
698,4877569,1,2.10E-07,18,26,0.123198276,
699,8169639,1,4.48E-08,16,26,0.123786917,
700,8114561,1,4.64E-08,100,22,0.020844054,
701,5589538,1,1.58E-07,41,27,0.045554371,
702,9331664,1,1.43E-08,16,16,0.141299722,
703,3483973,1,3.74E-07,44,26,0.04730733,
704,8653601,1,3.11E-08,18,28,0.112105149,
705,4470392,1,2.47E-07,13,30,0.157960304,
706,6231280,1,1.21E-07,46,35,0.047650579,
707,1075008,1,1.66E-06,127,18,0.016638804,
708,8013726,1,4.96E-08,104,29,0.017681326,
709,5748557,1,1.48E-07,35,18,0.054598052,
710,6922995,1,8.89E-08,320,19,0.006065344,
711,7779749,1,5.71E-08,493,31,0.003966799,
712,6774462,1,9.53E-08,303,12,0.00678217,
713,1246330,1,1.41E-06,67,24,0.03180092,
714,3925162,1,3.09E-07,22,23,0.074314093,
715,6488664,1,1.08E-07,956,20,0.002015176,
716,5668810,1,1.53E-07,92,29,0.021174404,
717,6171635,1,1.24E-07,334,23,0.005787577,
718,7722224,1,5.90E-08,56,20,0.0379881,
719,6449855,1,1.10E-07,65,21,0.031941859,
720,9549101,1,9.45E-09,15,34,0.144265063,
721,6943664,1,8.81E-08,16,36,0.113765948,
722,6739172,1,9.67E-08,99,23,0.020592158,
723,9434191,1,1.20E-08,27,28,0.060619204,
724,7999076,1,5.00E-08,54,19,0.03341288,
725,6009822,1,1.33E-07,21,25,0.086920754,
726,8654866,1,3.11E-08,48,20,0.044970547,
727,9543540,1,9.56E-09,70,31,0.030279112,
728,7241241,1,7.62E-08,35,20,0.052745322,
729,6017922,1,1.32E-07,244,18,0.00801976,
730,5800286,1,1.45E-07,21,28,0.080626157,
731,9825794,1,3.54E-09,28,28,0.073034821,
732,6530024,1,1.06E-07,159,21,0.013303926,
733,6862418,1,9.14E-08,55,28,0.039930214,
734,7666908,1,6.09E-08,427,19,0.004780336,
735,4105875,1,2.87E-07,91,26,0.022844893,
736,8174327,1,4.47E-08,62,20,0.03243309,
737,2375220,1,6.42E-07,211,19,0.010064202,
738,7258957,1,7.55E-08,31,24,0.057612668,
739,9753773,1,5.04E-09,32,29,0.059329976,
740,3481384,1,3.74E-07,37,26,0.047541678,
741,3240428,1,4.17E-07,86,19,0.022435811,
742,8451043,1,3.66E-08,307,19,0.006179498,
743,3819399,1,3.24E-07,329,19,0.006654936,
744,6772478,1,9.53E-08,33,22,0.062426784,
745,7768474,1,5.75E-08,831,26,0.002372716,
746,8549163,1,3.39E-08,11,27,0.165035137,
747,3919753,1,3.10E-07,75,19,0.02876098,
748,5799082,1,1.45E-07,43,21,0.04633621,
749,6059440,1,1.30E-07,248,22,0.008734638,
750,7372184,1,7.13E-08,1325,16,0.001476544,
751,3181938,1,4.29E-07,46,20,0.04480327,
752,1695855,1,9.79E-07,421,16,0.004748659,
753,2769465,1,5.22E-07,63,20,0.032501471,
754,4552489,1,2.39E-07,613,16,0.003303681,
755,3594393,1,3.56E-07,460,20,0.004513569,
756,3757571,1,3.32E-07,25,21,0.08576848,
757,7320438,1,7.32E-08,259,23,0.007802239,
758,4198467,1,2.76E-07,102,20,0.018137628,
759,7995477,1,5.01E-08,72,23,0.027896303,
760,4705471,1,2.25E-07,83,19,0.02347658,
761,7943959,1,5.18E-08,91,19,0.023431938,
762,6860710,1,9.14E-08,56,21,0.035362105,
763,8090178,1,4.72E-08,248,19,0.007941221,
764,7351159,1,7.21E-08,21,24,0.076142208,
765,9662877,1,6.96E-09,178,30,0.011560333,
766,9156382,1,1.84E-08,58,23,0.03854117,
767,6421870,1,1.11E-07,105,15,0.019513672,
768,1238800,1,1.41E-06,197,18,0.010333733,
769,4449002,1,2.49E-07,81,21,0.023923002,
770,5249457,1,1.81E-07,52,23,0.043230351,
771,9794078,1,4.20E-09,76,22,0.028850113,
772,7739531,1,5.84E-08,108,28,0.0183675,
773,3277995,1,4.10E-07,28,22,0.070096187,
774,1693382,1,9.81E-07,9,20,0.182851195,
775,9180910,1,1.78E-08,21,30,0.099001448,
776,9713872,1,5.91E-09,161,14,0.013140901,
777,8791452,1,2.75E-08,62,27,0.034313106,
778,9747282,1,5.20E-09,129,27,0.014318436,
779,9813729,1,3.80E-09,1243,12,0.001633596,
780,2574631,1,5.77E-07,14,26,0.131494053,
781,7172864,1,7.88E-08,144,15,0.014552639,
782,8847831,1,2.60E-08,97,28,0.021469987,
783,6673952,1,9.96E-08,193,22,0.010816214,
784,7487896,1,6.71E-08,76,26,0.026777304,
785,6044069,1,1.31E-07,20,26,0.094240214,
786,7606320,1,6.29E-08,50,24,0.048816705,
787,6694912,1,9.87E-08,437,21,0.004695754,
788,6473903,1,1.09E-07,64,19,0.034646462,
789,1416912,1,1.21E-06,16,27,0.126471101,
790,5402413,1,1.70E-07,11,23,0.168516268,
791,8960810,1,2.32E-08,293,15,0.007296058,
792,3682690,1,3.43E-07,84,19,0.025442273,
793,8965228,1,2.31E-08,33,29,0.055633328,
794,1317040,1,1.32E-06,63,20,0.030966937,
795,2191594,1,7.13E-07,12,18,0.203870603,
796,7270281,1,7.51E-08,715,19,0.002855501,
797,388942,1,4.94E-06,45,18,0.040114363,
798,7427153,1,6.92E-08,150,25,0.014028893,
799,6912015,1,8.93E-08,41,17,0.052555674,
